15	4.398770619817546e12
30	6.394494629341262e12
45	7.23700939427695e12
60	7.30918992381701e12
75	7.008230725126137e12
90	6.575267418289809e12
105	6.055210804291262e12
120	5.546256210875835e12
135	5.105030361229674e12
150	4.800806975410524e12
165	4.59341771922194e12
180	4.408361302204664e12
195	4.2058763193589746e12
210	4.1154501060543853e12
225	3.5233206789818604e12
240	3.532037489624454e12
255	3.5061605874200435e12
270	3.452900979873203e12
285	3.313940214497322e12
300	3.273444505348232e12
315	3.090462847697569e12
330	1.7186916664914338e12
345	1.6732924227629392e12
360	1.6191491486592046e12
375	1.5334107361540903e12

