0.000000e+00 1.428283e+00 2.148438e+00
1.000000e-01 3.769828e+02 9.569046e+00
2.000000e-01 1.567130e+03 2.410568e+01
3.000000e-01 3.520510e+03 4.728268e+01
4.000000e-01 6.073035e+03 7.715978e+01
5.000000e-01 9.032067e+03 1.110678e+02
6.000000e-01 1.212185e+04 1.446416e+02
7.000000e-01 1.477001e+04 1.702404e+02
8.000000e-01 1.708458e+04 2.106442e+02
9.000000e-01 2.037792e+04 2.600912e+02
1.000000e+00 2.266580e+04 3.081666e+02
1.100000e+00 2.480999e+04 3.475894e+02
1.200000e+00 2.651808e+04 3.918414e+02
1.300000e+00 2.742321e+04 3.921554e+02
1.400000e+00 2.862351e+04 4.408340e+02
1.500000e+00 2.929462e+04 4.784844e+02
1.600000e+00 2.870882e+04 4.813990e+02
1.700000e+00 2.860109e+04 5.049948e+02
1.800000e+00 2.904263e+04 5.207258e+02
1.900000e+00 2.737053e+04 5.431540e+02
2.000000e+00 2.671449e+04 5.481054e+02
2.100000e+00 2.663575e+04 5.994836e+02
2.200000e+00 2.450731e+04 6.025522e+02
2.300000e+00 2.337438e+04 5.949216e+02
2.400000e+00 2.191179e+04 6.527044e+02
2.500000e+00 2.007849e+04 6.134048e+02
2.600000e+00 1.976800e+04 6.516226e+02
2.700000e+00 1.808619e+04 6.541236e+02
2.800000e+00 1.717178e+04 7.109008e+02
2.900000e+00 1.647167e+04 7.412010e+02
3.000000e+00 1.611179e+04 8.227232e+02
